amount,merchant,mcc,country,card_type,hour,distance_from_home,distance_from_last_tx,ratio_to_median,retry_attempts,is_international,chip_authenticated
4289.15,Blinkit Instant Delivery,5411,IN,RuPay Select,5,16.9,1.8,1.72,0,no,yes
7128.45,Indian Oil Corporation Fuel,5541,IN,RuPay UPI,20,4.3,0.9,2.85,0,no,yes
5192.03,Tata Power Utility Bill,4900,IN,RuPay UPI,16,10.2,5.3,2.08,0,no,yes
4988.18,Myntra Fashion Shopping,5651,IN,Mastercard Platinum,14,15.6,0.8,2.0,0,no,yes
2216.43,Airtel Broadband Recharge,4814,IN,RuPay UPI,12,17.9,7.9,0.89,1,no,yes
1050.77,Apollo Pharmacy Health,5912,IN,Visa Classic,21,15.1,11.6,0.42,0,no,yes
10505.09,Cult.fit Fitness Membership,7997,IN,RuPay UPI,5,16.8,11.7,4.2,0,no,yes
7028.99,Zomato Dining & Delivery,5812,IN,Mastercard World,2,7.6,11.3,2.81,0,no,yes
46797.82,Amazon International EU,5311,LU,Mastercard Platinum,10,1925.0,906.3,18.72,3,yes,yes
6227.58,Zomato Dining & Delivery,5812,IN,Mastercard World,20,2.2,8.0,2.49,0,no,yes
5607.74,BigBasket Daily Groceries,5411,IN,RuPay UPI,7,4.5,10.9,2.24,0,no,yes
2162.41,Blinkit Instant Delivery,5411,IN,RuPay Select,8,16.8,10.6,0.86,0,no,yes
2266.84,BigBasket Daily Groceries,5411,IN,RuPay UPI,2,17.7,3.3,0.91,1,no,yes
63429.67,Binance P2P Crypto Exchange,6051,CY,Mastercard World,11,1244.3,881.7,25.37,3,yes,no
5285.05,BigBasket Daily Groceries,5411,IN,RuPay UPI,7,11.3,5.1,2.11,0,no,yes
9566.5,Zomato Dining & Delivery,5812,IN,Mastercard World,9,15.6,11.7,3.83,0,no,yes
883.59,Apollo Pharmacy Health,5912,IN,Visa Classic,12,5.1,11.2,0.35,0,no,yes
2108.05,Cult.fit Fitness Membership,7997,IN,RuPay UPI,2,15.8,11.7,0.84,0,no,yes
5634.39,Zomato Dining & Delivery,5812,IN,Mastercard World,9,15.9,11.4,2.25,0,no,yes
1626.21,Apollo Pharmacy Health,5912,IN,Visa Classic,0,1.9,2.4,0.65,0,no,yes
61392.02,Dubai Gold Souk Jewels,5944,AE,Visa Platinum,2,2191.3,312.4,24.56,3,yes,yes
47683.0,Emirates First Class Tickets,3000,AE,Visa Infinite,11,1416.7,882.3,19.07,3,yes,yes
8753.87,Apollo Pharmacy Health,5912,IN,Visa Classic,17,11.2,2.0,3.5,0,no,yes
3405.39,Zomato Dining & Delivery,5812,IN,Mastercard World,1,12.5,10.3,1.36,1,no,yes
85527.8,Farfetch Designer Boutique,5651,IT,Mastercard World,0,737.9,664.8,34.21,1,yes,no
7264.01,BigBasket Daily Groceries,5411,IN,RuPay UPI,18,1.4,5.8,2.91,0,no,yes
15865.5,BookMyShow IMAX Movie Tickets,7832,IN,Visa Gold,8,13.4,3.1,6.35,0,no,yes
3526.59,Myntra Fashion Shopping,5651,IN,Mastercard Platinum,1,17.1,2.1,1.41,1,no,yes
44917.11,Amazon International EU,5311,LU,Mastercard Platinum,13,2836.2,1200.0,17.97,2,yes,no
68721.49,Binance P2P Crypto Exchange,6051,CY,Mastercard World,21,527.2,388.8,27.49,4,yes,yes
2047.76,Decathlon Sports Gear,5941,IN,Mastercard World,6,6.4,10.4,0.82,0,no,yes
89913.74,Apple Flagship Online Store,5732,US,Visa Signature,10,3191.6,352.4,35.97,4,yes,no
2901.11,Reliance Fresh Supermarket,5411,IN,RuPay Select,13,11.9,0.3,1.16,0,no,yes
7460.88,Uber City Ride Mobility,4121,IN,Visa Platinum,21,11.8,5.6,2.98,0,no,yes
4920.5,Decathlon Sports Gear,5941,IN,Mastercard World,7,17.3,11.9,1.97,1,no,yes
3306.45,BigBasket Daily Groceries,5411,IN,RuPay UPI,15,3.6,11.1,1.32,1,no,yes
1130.16,Myntra Fashion Shopping,5651,IN,Mastercard Platinum,14,8.9,10.4,0.45,0,no,yes
4840.23,Cult.fit Fitness Membership,7997,IN,RuPay UPI,7,15.3,1.3,1.94,1,no,yes
6875.67,Zomato Dining & Delivery,5812,IN,Mastercard World,23,12.2,3.9,2.75,0,no,yes
79385.61,Croma Mega Electronics,5732,IN,RuPay Select,13,1310.7,231.2,31.75,3,no,no
9201.86,BookMyShow IMAX Movie Tickets,7832,IN,Visa Gold,22,1.7,9.2,3.68,0,no,yes
6134.2,Myntra Fashion Shopping,5651,IN,Mastercard Platinum,6,2.6,2.9,2.45,0,no,yes
4329.56,Cult.fit Fitness Membership,7997,IN,RuPay UPI,12,10.5,5.8,1.73,1,no,yes
9061.0,Myntra Fashion Shopping,5651,IN,Mastercard Platinum,15,10.2,5.2,3.62,0,no,yes
3714.83,Tata Power Utility Bill,4900,IN,RuPay UPI,2,18.0,12.0,1.49,0,no,yes
63192.2,Apple Flagship Online Store,5732,US,Visa Signature,8,2159.4,1299.1,25.28,1,yes,yes
1669.31,Decathlon Sports Gear,5941,IN,Mastercard World,0,10.2,3.4,0.67,0,no,yes
1331.4,Cult.fit Fitness Membership,7997,IN,RuPay UPI,23,12.6,2.0,0.53,0,no,yes
1778.78,Cult.fit Fitness Membership,7997,IN,RuPay UPI,15,9.9,8.8,0.71,0,no,yes
742.17,Apollo Pharmacy Health,5912,IN,Visa Classic,7,4.5,2.8,0.3,0,no,yes
11522.7,Apollo Pharmacy Health,5912,IN,Visa Classic,3,8.4,5.2,4.61,0,no,yes
1702.97,Apollo Pharmacy Health,5912,IN,Visa Classic,18,16.5,10.5,0.68,0,no,yes
8293.45,Reliance Fresh Supermarket,5411,IN,RuPay Select,1,16.6,11.0,3.32,0,no,yes
1000.52,BookMyShow IMAX Movie Tickets,7832,IN,Visa Gold,8,16.7,5.4,0.4,0,no,yes
61512.35,Farfetch Designer Boutique,5651,IT,Mastercard World,5,2345.4,394.5,24.6,4,yes,no
1783.46,Zomato Dining & Delivery,5812,IN,Mastercard World,20,12.4,8.1,0.71,0,no,yes
1845.88,Zomato Dining & Delivery,5812,IN,Mastercard World,8,5.4,5.9,0.74,0,no,yes
35781.17,Farfetch Designer Boutique,5651,IT,Mastercard World,18,1745.5,1375.0,14.31,4,yes,yes
2109.18,Starbucks Coffee Reserve,5812,IN,Visa Signature,0,5.5,5.4,0.84,0,no,yes
1367.43,BigBasket Daily Groceries,5411,IN,RuPay UPI,9,0.6,9.3,0.55,0,no,yes
